asin	title	subtitle	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url
0063067986	Liftoff	Elon Musk and the Desperate Early Days that Launched SpaceX	Eric Berger	Rob Shapiro			Business & Careers, Business Development & Entrepreneurship, Entrepreneurship, Science & Engineering, Science, History & Philosophy, History	543					2025-03-24T19:38:23Z	2021-03-02	https://m.media-amazon.com/images/I/51qDV5YGBKL._SL500_.jpg
0063098253	Barbarians at the Gate	The Fall of RJR Nabisco	Bryan Burrough, John Helyar	Eric Jason Martin			Business & Careers, History, Modern, 20th Century	1338					2022-10-04T23:47:41Z	2021-06-22	https://m.media-amazon.com/images/I/51-slwijOaS._SL500_.jpg
0593148193	The Man Who Solved the Market	How Jim Simons Launched the Quant Revolution	Gregory Zuckerman	Will Damron			Biographies & Memoirs, Professionals & Academics, Business, Business & Careers, Money & Finance	644					2024-05-10T16:30:47Z	2019-11-05	https://m.media-amazon.com/images/I/51XscjmkiNL._SL500_.jpg
0593401999	First Platoon	A Story of Modern War in the Age of Identity Dominance	Annie Jacobsen	Annie Jacobsen			History, Military, Military Science, History, Military, Politics & Social Sciences, Politics & Government, War & Crisis, Genocide & War Crimes, Politics & Social Sciences, Social Sciences, Privacy & Surveillance	719					2021-01-24T23:05:06Z	2021-01-12	https://m.media-amazon.com/images/I/41WVYJ3XplL._SL500_.jpg
0593457153	Trillions	How a Band of Wall Street Renegades Invented the Index Fund and Changed Finance Forever	Robin Wigglesworth	Christopher Grove			Money & Finance, Investing & Trading	723					2023-04-08T19:45:47Z	2021-10-12	https://m.media-amazon.com/images/I/51QsDBo7ysL._SL500_.jpg
0593457358	From Strength to Strength	Finding Success, Happiness, and Deep Purpose in the Second Half of Life	Arthur C. Brooks	Arthur C. Brooks			Business & Careers, Career Success, Health & Wellness, Aging & Longevity, Relationships, Parenting & Personal Development, Parenting & Families, Aging Parents, Relationships, Parenting & Personal Development, Personal Development, Relationships, Parenting & Personal Development, Relationships	349					2023-12-05T13:03:49Z	2022-02-15	https://m.media-amazon.com/images/I/61CudQ6dr0L._SL500_.jpg
0593458842	The Last King of America	The Misunderstood Reign of George III	Andrew Roberts	Phillipe Stevens			Biographies & Memoirs, Historical, Biographies & Memoirs, Politics & Activism, Royalty, History, Europe, Great Britain	2162					2024-05-26T23:43:41Z	2021-11-09	https://m.media-amazon.com/images/I/51JqkcmmdRL._SL500_.jpg
0593555635	Ways and Means	Lincoln and His Cabinet and the Financing of the Civil War	Roger Lowenstein	Kaleo Griffith			History, Military, Wars & Conflicts, American Civil War, Money & Finance, Banks & Banking, Politics & Social Sciences, Politics & Government	811					2024-03-28T11:43:16Z	2022-03-08	https://m.media-amazon.com/images/I/516qi9KOrmL._SL500_.jpg
0691205655	Billionaire Wilderness	The Ultra-Wealthy and the Remaking of the American West	Justin Farrell	John Chancer			History, Americas, Politics & Social Sciences, Social Sciences, Politics & Social Sciences, Sociology, Politics & Social Sciences, Sociology, Science & Engineering, Science, Environment, Conservation, Science & Engineering, Science, Nature & Ecology, Sports & Outdoors, Outdoors & Nature	746					2024-08-26T10:20:39Z	2020-03-03	https://m.media-amazon.com/images/I/51BOHHjLdhL._SL500_.jpg
1250788110	Blood and Treasure	Daniel Boone and the Fight for America's First Frontier	Bob Drury, Tom Clavin	George Newbern			Biographies & Memoirs, Historical, History, Americas, United States, Revolution & Founding, History, Americas, United States, State & Local	683					2024-11-11T18:11:14Z	2021-04-20	https://m.media-amazon.com/images/I/51HgxMN0ifL._SL500_.jpg
1469074737	The Laws of Trading	A Trader's Guide to Better Decision-Making for Everyone	Agustin Lebron	Timothy Andrés Pabon			Money & Finance, Investing & Trading, Analysis & Strategy, Money & Finance, Personal Finance	678					2022-08-08T14:43:35Z	2019-07-30	https://m.media-amazon.com/images/I/51hcXLCaweL._SL500_.jpg
1473578132	The World for Sale	Money, Power and the Traders Who Barter the Earth’s Resources	Javier Blas, Jack Farchy	John Sackville			Money & Finance, Investing & Trading, Commodities, Politics & Social Sciences, Politics & Government, International Relations, Geopolitics	724					2024-07-12T18:52:26Z	2021-02-25	https://m.media-amazon.com/images/I/41oJHxaEn+L._SL500_.jpg
